#           M     M*dndm_      dndm_j     f(sig)_  lnsigma_j    neff_j       ngtm_   sigma_j
  4.46684e+11 6.32213e-03 1.41535e-14 2.79864e-01  -0.796704 -2.192090 6.73716e-03  2.218217
  5.01187e+11 5.68957e-03 1.13522e-14 2.80044e-01  -0.781129 -2.184732 6.04571e-03  2.183937
  5.62341e+11 5.11498e-03 9.09587e-15 2.80188e-01  -0.765424 -2.178058 5.42375e-03  2.149905
  6.30957e+11 4.60376e-03 7.29647e-15 2.80294e-01  -0.749578 -2.170253 4.86430e-03  2.116107
  7.07946e+11 4.13990e-03 5.84777e-15 2.80356e-01  -0.733584 -2.162999 4.36097e-03  2.082531
  7.94328e+11 3.72193e-03 4.68563e-15 2.80372e-01  -0.717456 -2.155735 3.90841e-03  2.049214
  8.91251e+11 3.34899e-03 3.75763e-15 2.80337e-01  -0.701178 -2.147530 3.50137e-03  2.016126
  1.00000e+12 3.00889e-03 3.00889e-15 2.80246e-01  -0.684750 -2.140366 3.13538e-03  1.983275
  1.12202e+12 2.70514e-03 2.41096e-15 2.80094e-01  -0.668180 -2.132373 2.80646e-03  1.950685
  1.25893e+12 2.43240e-03 1.93213e-15 2.79875e-01  -0.651451 -2.123973 2.51071e-03  1.918321
  1.41254e+12 2.18379e-03 1.54600e-15 2.79584e-01  -0.634571 -2.116627 2.24499e-03  1.886214
  1.58489e+12 1.96268e-03 1.23836e-15 2.79215e-01  -0.617540 -2.108018 2.00630e-03  1.854361
  1.77828e+12 1.76283e-03 9.91310e-16 2.78761e-01  -0.600341 -2.099623 1.79184e-03  1.822741
  1.99526e+12 1.58171e-03 7.92733e-16 2.78215e-01  -0.582992 -2.091775 1.59931e-03  1.791391
  2.23872e+12 1.42060e-03 6.34560e-16 2.77569e-01  -0.565478 -2.082623 1.42648e-03  1.760289
  2.51189e+12 1.27399e-03 5.07187e-16 2.76816e-01  -0.547793 -2.074401 1.27137e-03  1.729432
  2.81838e+12 1.14244e-03 4.05353e-16 2.75948e-01  -0.529952 -2.065773 1.13227e-03  1.698852
  3.16228e+12 1.02490e-03 3.24103e-16 2.74955e-01  -0.511934 -2.056230 1.00751e-03  1.668515
  3.54813e+12 9.17615e-04 2.58619e-16 2.73829e-01  -0.493745 -2.048022 8.95687e-04  1.638441
  3.98107e+12 8.22127e-04 2.06509e-16 2.72561e-01  -0.475390 -2.038562 7.95540e-04  1.608641
  4.46684e+12 7.36230e-04 1.64821e-16 2.71139e-01  -0.456847 -2.028890 7.05834e-04  1.579087
  5.01187e+12 6.58062e-04 1.31301e-16 2.69553e-01  -0.438133 -2.020355 6.25572e-04  1.549811
  5.62341e+12 5.88708e-04 1.04689e-16 2.67793e-01  -0.419240 -2.010203 5.53802e-04  1.520805
  6.30957e+12 5.25893e-04 8.33485e-17 2.65847e-01  -0.400152 -2.000662 4.89640e-04  1.492051
  7.07946e+12 4.69238e-04 6.62817e-17 2.63704e-01  -0.380891 -1.991392 4.32356e-04  1.463588
  7.94328e+12 4.18898e-04 5.27362e-17 2.61352e-01  -0.361435 -1.980636 3.81231e-04  1.435388
  8.91251e+12 3.73041e-04 4.18559e-17 2.58777e-01  -0.341782 -1.971329 3.35643e-04  1.407454
  1.00000e+13 3.32154e-04 3.32154e-17 2.55971e-01  -0.321949 -1.961048 2.95049e-04  1.379814
  1.12202e+13 2.95622e-04 2.63474e-17 2.52917e-01  -0.301905 -1.949962 2.58911e-04  1.352433
